Date,Open,High,Low,Close
02/10/2025,"0.9679","0.9728","0.9673","0.9702"
02/07/2025,"0.9630","0.9703","0.9608","0.9682"
02/06/2025,"0.9612","0.9659","0.9608","0.9631"
02/05/2025,"0.9634","0.9644","0.9576","0.9613"
02/04/2025,"0.9668","0.9735","0.9625","0.9635"
02/03/2025,"0.9651","0.9796","0.9651","0.9666"
01/31/2025,"0.9624","0.9662","0.9584","0.9652"
01/30/2025,"0.9597","0.9628","0.9552","0.9622"
01/29/2025,"0.9588","0.9632","0.9574","0.9595"
01/28/2025,"0.9530","0.9602","0.9527","0.9587"
01/27/2025,"0.9520","0.9566","0.9494","0.9531"
01/24/2025,"0.9600","0.9605","0.9503","0.9521"
01/23/2025,"0.9605","0.9638","0.9578","0.9599"
01/22/2025,"0.9585","0.9622","0.9562","0.9607"
01/21/2025,"0.9601","0.9669","0.9582","0.9588"
01/20/2025,"0.9705","0.9741","0.9584","0.9599"
01/17/2025,"0.9712","0.9745","0.9679","0.9732"
01/16/2025,"0.9719","0.9746","0.9692","0.9708"
01/15/2025,"0.9700","0.9746","0.9660","0.9717"
01/14/2025,"0.9762","0.9768","0.9699","0.9701"
01/13/2025,"0.9750","0.9825","0.9750","0.9763"
01/10/2025,"0.9708","0.9789","0.9671","0.9752"
01/09/2025,"0.9692","0.9724","0.9687","0.9707"
01/08/2025,"0.9668","0.9734","0.9653","0.9690"
01/07/2025,"0.9625","0.9672","0.9582","0.9670"
01/06/2025,"0.9696","0.9713","0.9582","0.9624"
01/03/2025,"0.9739","0.9750","0.9698","0.9699"
01/02/2025,"0.9650","0.9780","0.9624","0.9739"
01/01/2025,"0.9656","0.9662","0.9649","0.9653"
12/31/2024,"0.9608","0.9667","0.9592","0.9658"
12/30/2024,"0.9591","0.9641","0.9561","0.9608"
12/27/2024,"0.9596","0.9610","0.9574","0.9592"
12/26/2024,"0.9610","0.9658","0.9586","0.9593"
12/25/2024,"0.9615","0.9620","0.9575","0.9606"
12/24/2024,"0.9610","0.9631","0.9603","0.9615"
12/23/2024,"0.9586","0.9630","0.9571","0.9609"
12/20/2024,"0.9650","0.9669","0.9570","0.9588"
12/19/2024,"0.9658","0.9680","0.9588","0.9650"
12/18/2024,"0.9532","0.9667","0.9510","0.9657"
12/17/2024,"0.9512","0.9544","0.9492","0.9532"
12/16/2024,"0.9517","0.9547","0.9500","0.9514"
12/13/2024,"0.9551","0.9567","0.9501","0.9521"
12/12/2024,"0.9528","0.9556","0.9494","0.9555"
12/11/2024,"0.9498","0.9542","0.9486","0.9526"
12/10/2024,"0.9475","0.9526","0.9461","0.9497"
12/09/2024,"0.9455","0.9495","0.9437","0.9474"
12/06/2024,"0.9446","0.9487","0.9407","0.9462"
12/05/2024,"0.9514","0.9517","0.9442","0.9443"
12/04/2024,"0.9516","0.9549","0.9483","0.9514"
12/03/2024,"0.9524","0.9542","0.9491","0.9515"
12/02/2024,"0.9451","0.9559","0.9451","0.9525"
11/29/2024,"0.9474","0.9497","0.9415","0.9452"
11/28/2024,"0.9464","0.9498","0.9459","0.9475"
11/27/2024,"0.9534","0.9547","0.9443","0.9462"
11/26/2024,"0.9529","0.9592","0.9482","0.9532"
11/25/2024,"0.9599","0.9599","0.9495","0.9528"
11/22/2024,"0.9546","0.9676","0.9523","0.9591"
11/21/2024,"0.9484","0.9558","0.9473","0.9548"
11/20/2024,"0.9438","0.9517","0.9424","0.9483"
11/19/2024,"0.9434","0.9501","0.9430","0.9437"
11/18/2024,"0.9482","0.9497","0.9426","0.9436"
11/15/2024,"0.9495","0.9509","0.9439","0.9487"
11/14/2024,"0.9467","0.9526","0.9448","0.9496"
11/13/2024,"0.9412","0.9474","0.9385","0.9466"
11/12/2024,"0.9386","0.9439","0.9376","0.9413"
11/11/2024,"0.9325","0.9409","0.9320","0.9385"
11/08/2024,"0.9255","0.9357","0.9251","0.9329"
11/07/2024,"0.9320","0.9335","0.9236","0.9256"
11/06/2024,"0.9149","0.9361","0.9140","0.9320"
11/05/2024,"0.9189","0.9198","0.9142","0.9148"
11/04/2024,"0.9191","0.9200","0.9160","0.9194"
11/01/2024,"0.9188","0.9244","0.9168","0.9229"
10/31/2024,"0.9211","0.9222","0.9182","0.9187"
10/30/2024,"0.9243","0.9270","0.9197","0.9210"
10/29/2024,"0.9249","0.9286","0.9236","0.9244"
10/28/2024,"0.9257","0.9275","0.9235","0.9248"
10/25/2024,"0.9236","0.9266","0.9224","0.9263"
10/24/2024,"0.9273","0.9285","0.9231","0.9236"
10/23/2024,"0.9261","0.9293","0.9252","0.9274"
10/22/2024,"0.9246","0.9266","0.9218","0.9259"
10/21/2024,"0.9194","0.9251","0.9194","0.9247"
10/18/2024,"0.9236","0.9238","0.9198","0.9201"
10/17/2024,"0.9206","0.9250","0.9195","0.9232"
10/16/2024,"0.9181","0.9214","0.9152","0.9207"
10/15/2024,"0.9167","0.9190","0.9135","0.9181"
10/14/2024,"0.9132","0.9184","0.9132","0.9165"
10/11/2024,"0.9142","0.9155","0.9128","0.9142"
10/10/2024,"0.9141","0.9174","0.9127","0.9143"
10/09/2024,"0.9109","0.9145","0.9104","0.9140"
10/08/2024,"0.9110","0.9133","0.9090","0.9106"
10/07/2024,"0.9105","0.9129","0.9100","0.9111"
10/04/2024,"0.9065","0.9131","0.9057","0.9110"
10/03/2024,"0.9054","0.9084","0.9026","0.9066"
10/02/2024,"0.9033","0.9064","0.9022","0.9054"
10/01/2024,"0.8980","0.9054","0.8971","0.9035"
09/30/2024,"0.8951","0.8997","0.8920","0.8981"
09/27/2024,"0.8946","0.9008","0.8925","0.8957"
09/26/2024,"0.8983","0.8989","0.8914","0.8947"
