Date,Open,High,Low,Close
02/10/2025,"151.38","152.53","151.23","151.99"
02/07/2025,"151.46","152.40","150.95","151.41"
02/06/2025,"152.62","152.90","151.25","151.46"
02/05/2025,"154.34","154.46","152.12","152.60"
02/04/2025,"154.76","155.53","154.17","154.34"
02/03/2025,"155.21","155.89","154.02","154.77"
01/31/2025,"154.29","155.22","153.93","155.20"
01/30/2025,"155.24","155.24","153.80","154.29"
01/29/2025,"155.56","155.78","154.96","155.24"
01/28/2025,"154.53","155.99","154.49","155.53"
01/27/2025,"156.03","156.25","153.72","154.51"
01/24/2025,"156.06","156.57","154.85","156.02"
01/23/2025,"156.50","156.75","155.75","156.06"
01/22/2025,"155.50","156.71","155.37","156.53"
01/21/2025,"155.62","156.25","154.79","155.51"
01/20/2025,"156.30","156.57","155.42","155.64"
01/17/2025,"155.21","156.37","154.99","156.30"
01/16/2025,"156.47","156.53","155.10","155.16"
01/15/2025,"157.96","158.07","155.96","156.47"
01/14/2025,"157.48","158.22","157.12","157.97"
01/13/2025,"157.70","157.96","156.91","157.49"
01/10/2025,"158.12","158.86","157.26","157.70"
01/09/2025,"158.36","158.40","157.58","158.14"
01/08/2025,"158.04","158.55","157.91","158.36"
01/07/2025,"157.62","158.42","157.37","158.06"
01/06/2025,"157.20","157.96","156.25","157.65"
01/03/2025,"157.55","157.57","156.90","157.30"
01/02/2025,"157.28","157.84","156.44","157.51"
01/01/2025,"157.21","157.44","157.19","157.40"
12/31/2024,"156.84","157.55","156.03","157.21"
12/30/2024,"157.87","158.08","156.67","156.85"
12/27/2024,"158.00","158.01","157.36","157.84"
12/26/2024,"157.19","158.10","157.08","158.00"
12/25/2024,"157.16","157.38","157.05","157.20"
12/24/2024,"157.18","157.44","156.89","157.17"
12/23/2024,"156.46","157.28","156.34","157.17"
12/20/2024,"157.43","157.93","155.95","156.41"
12/19/2024,"154.79","157.80","154.44","157.44"
12/18/2024,"153.44","154.86","153.34","154.84"
12/17/2024,"154.14","154.34","153.16","153.50"
12/16/2024,"153.75","154.48","153.33","154.15"
12/13/2024,"152.64","153.80","152.47","153.70"
12/12/2024,"152.46","152.77","151.81","152.64"
12/11/2024,"151.95","152.81","151.04","152.47"
12/10/2024,"151.20","152.17","150.90","151.97"
12/09/2024,"149.98","151.35","149.70","151.22"
12/06/2024,"150.10","150.70","149.37","150.01"
12/05/2024,"150.62","150.76","149.66","150.11"
